DATE,District 1,District 2,District 3,District 4,District 5,District 6,District 7,District 8,District 9,District 10,District 11,District 12,USPHCI
11/1/2016,128.26,117.64,113.72,114.64,123.09,123.41,116.01,117.55,123.67,122.35,130.26,130.05,118.45
12/1/2016,128.60,118.10,114.06,114.79,123.46,123.78,116.42,117.96,124.09,122.80,130.53,130.42,118.72
1/1/2017,129.18,118.56,114.33,115.02,123.83,124.23,116.92,118.31,124.69,123.20,130.89,131.08,118.98
2/1/2017,129.51,119.00,114.75,115.40,124.34,124.77,117.39,118.77,125.23,123.72,131.27,131.67,119.30
3/1/2017,129.85,119.20,114.88,115.71,124.74,125.31,117.87,119.22,125.80,124.24,131.72,132.28,119.65
4/1/2017,130.15,119.40,115.28,115.93,125.15,125.83,118.30,119.60,126.33,124.64,132.08,132.68,119.89
5/1/2017,130.45,119.60,115.44,116.24,125.53,126.35,118.52,119.93,126.60,124.97,132.53,133.22,120.17
6/1/2017,130.75,119.80,115.72,116.46,125.82,126.78,118.64,120.19,126.85,125.25,132.96,133.64,120.51
7/1/2017,131.02,119.78,115.92,116.60,126.04,127.20,118.55,120.45,127.24,125.48,133.37,134.11,120.80
8/1/2017,131.29,119.93,116.10,116.93,126.32,127.58,118.69,120.65,127.48,125.68,133.65,134.47,121.00
9/1/2017,131.57,120.13,116.34,117.15,126.59,127.56,118.93,120.97,127.73,125.99,134.03,134.97,121.31
10/1/2017,131.86,120.32,116.55,117.48,126.83,128.35,119.03,121.17,127.93,126.29,134.36,135.47,121.59
11/1/2017,132.17,120.70,116.79,117.81,127.06,128.65,119.38,121.46,128.43,126.57,134.92,136.02,121.88
12/1/2017,132.77,121.17,117.05,118.14,127.48,129.02,119.80,121.78,128.73,126.99,135.18,136.41,122.20
1/1/2018,133.08,121.36,117.42,118.34,127.86,129.42,120.14,121.93,129.47,127.22,135.52,136.96,122.46
2/1/2018,133.44,121.80,117.79,118.60,128.42,129.76,120.56,122.24,129.83,127.64,136.04,137.55,122.76
3/1/2018,134.04,122.21,118.18,118.83,128.88,130.22,120.98,122.57,130.35,128.04,136.51,137.94,123.13
4/1/2018,134.34,122.64,118.63,119.15,129.38,130.51,121.24,122.84,130.59,128.29,136.92,138.50,123.40
5/1/2018,134.91,123.11,119.05,119.39,129.95,130.92,121.57,123.14,131.22,128.75,137.38,138.92,123.84
6/1/2018,135.22,123.59,119.51,119.64,130.35,131.36,121.84,123.47,131.57,129.04,137.89,139.33,124.02
7/1/2018,135.71,123.96,119.70,119.94,130.62,131.65,121.88,123.64,131.85,129.35,138.13,139.64,124.35
8/1/2018,136.03,124.21,119.95,120.11,130.91,132.11,122.02,123.89,132.09,129.64,138.69,140.00,124.66
9/1/2018,136.29,124.42,120.38,120.35,131.03,132.48,122.01,124.02,132.11,129.77,139.02,140.37,124.95
10/1/2018,136.86,124.51,120.47,120.34,131.38,132.73,122.15,124.16,132.09,130.00,139.41,140.50,125.18
11/1/2018,137.19,124.70,120.66,120.47,131.59,133.06,122.10,124.22,132.12,130.20,139.75,140.77,125.42
12/1/2018,137.53,124.91,120.83,120.60,131.77,133.32,122.13,124.29,132.34,130.37,140.13,141.13,125.61
1/1/2019,138.16,125.17,120.90,120.91,132.33,133.77,122.34,124.57,132.37,130.75,140.68,141.45,125.95
2/1/2019,138.57,125.62,121.09,121.34,132.67,134.26,122.57,124.81,132.57,131.13,141.13,141.81,126.22
3/1/2019,139.29,126.11,121.48,121.75,133.13,134.69,122.92,125.17,133.07,131.55,141.48,142.41,126.51
4/1/2019,139.70,126.36,121.70,122.08,133.60,135.15,123.28,125.55,133.40,131.94,141.91,143.07,126.89
5/1/2019,140.32,126.78,122.10,122.46,134.06,135.51,123.60,125.89,133.71,132.36,142.46,143.67,127.10
6/1/2019,140.67,126.97,122.21,122.46,134.53,135.86,123.92,126.12,134.00,132.66,142.85,144.11,127.37
7/1/2019,140.92,126.89,122.34,122.47,134.81,136.23,123.99,126.23,134.16,132.89,143.22,144.49,127.59
8/1/2019,141.21,127.03,122.36,122.40,135.08,136.58,124.27,126.34,134.41,133.02,143.60,144.90,127.83
9/1/2019,141.69,126.92,122.45,122.38,135.42,136.84,124.37,126.42,134.41,133.18,143.87,145.30,128.21
10/1/2019,141.96,127.03,122.39,122.47,135.58,137.20,124.54,126.59,134.67,133.42,144.24,145.68,128.43
11/1/2019,142.23,127.23,122.53,122.64,135.88,137.54,124.92,126.75,134.92,133.66,144.59,145.99,128.69
12/1/2019,142.52,127.15,122.48,122.58,135.94,137.89,125.22,126.94,135.23,133.86,145.00,146.22,128.93
1/1/2020,143.06,127.34,122.65,122.75,136.18,138.20,125.30,127.14,135.24,134.04,145.15,146.46,129.33
2/1/2020,143.32,127.28,122.38,122.49,136.22,138.45,125.32,127.20,135.25,134.08,145.61,146.61,129.71
3/1/2020,143.41,126.95,121.57,122.05,135.95,137.26,124.21,126.85,135.07,133.79,144.40,144.08,128.82
4/1/2020,101.12,98.10,94.43,93.77,116.51,116.29,91.53,104.78,111.44,115.54,134.15,116.05,114.78
5/1/2020,104.41,95.67,98.21,100.66,119.27,117.86,97.02,109.66,108.30,117.79,135.38,118.74,116.65
6/1/2020,108.35,101.84,100.22,105.99,122.46,123.01,103.43,115.31,115.24,120.79,136.02,123.65,118.56
7/1/2020,113.47,104.79,103.04,108.15,124.24,124.12,106.85,116.61,118.48,124.64,136.19,125.84,118.85
8/1/2020,119.32,108.83,105.90,111.47,126.86,128.12,111.21,119.26,122.34,126.23,137.66,129.41,120.33
9/1/2020,121.50,113.07,109.46,113.42,128.47,130.15,113.48,120.60,124.83,127.42,138.57,133.30,121.07
10/1/2020,125.53,115.38,111.86,115.33,130.11,132.01,115.83,122.25,127.62,128.80,139.67,135.82,122.06
11/1/2020,127.42,115.99,112.67,116.42,131.09,133.40,116.73,123.03,129.23,129.47,140.36,136.96,122.50
12/1/2020,128.34,116.44,113.03,117.05,131.70,134.26,117.18,123.71,130.27,129.87,141.09,137.38,122.67
1/1/2021,130.58,117.03,113.68,117.99,132.66,135.40,118.40,124.44,131.92,130.74,141.77,138.51,123.34
2/1/2021,132.01,117.65,114.44,118.50,133.30,136.26,119.08,124.84,133.05,131.29,142.08,139.69,123.90
3/1/2021,133.23,118.58,115.31,119.22,134.01,137.18,119.72,125.48,134.14,132.09,143.06,140.60,124.44
4/1/2021,133.90,119.24,116.06,119.69,134.69,137.81,120.13,125.85,134.88,132.56,143.56,141.69,124.84
5/1/2021,135.73,120.33,116.81,120.35,135.42,138.66,120.66,126.46,135.63,133.23,144.70,142.94,125.50
6/1/2021,136.20,120.57,117.45,120.91,135.98,139.43,121.00,127.04,136.16,133.89,145.44,143.74,126.07
7/1/2021,137.59,121.76,118.34,121.69,136.91,140.40,121.75,127.75,136.97,134.74,146.33,145.23,126.95
8/1/2021,138.96,122.71,119.16,122.39,137.59,141.11,122.45,128.35,137.64,135.49,147.14,146.56,127.64
9/1/2021,140.61,124.25,120.16,122.96,138.46,141.90,123.38,128.86,138.35,136.36,147.99,148.00,128.44
10/1/2021,141.83,125.46,121.25,123.87,139.47,142.90,124.33,129.67,139.47,137.29,149.05,149.42,129.17
11/1/2021,143.55,126.52,122.30,124.64,140.39,143.61,125.33,130.33,140.59,138.13,149.91,150.71,129.88
12/1/2021,145.04,127.31,123.18,125.23,141.29,144.22,126.06,130.94,141.60,138.85,150.58,151.84,130.62
1/1/2022,145.38,128.23,123.80,125.71,141.83,144.83,126.59,131.53,142.51,139.48,151.56,152.85,131.00
2/1/2022,146.34,129.68,124.73,126.28,142.72,145.62,127.33,132.24,143.59,140.35,152.27,154.33,131.82
3/1/2022,147.49,130.79,125.28,126.69,143.36,146.27,127.83,132.82,144.49,140.93,153.14,155.39,132.38
4/1/2022,148.04,131.32,125.88,127.05,143.96,146.92,128.16,133.29,145.10,141.55,153.78,156.41,132.86
5/1/2022,148.41,132.15,126.27,127.20,144.34,147.49,128.36,133.78,145.14,141.91,154.38,157.02,133.22
6/1/2022,148.66,132.47,126.61,127.37,144.45,147.89,128.48,133.95,145.33,142.08,154.89,157.53,133.65
7/1/2022,149.00,133.12,127.01,127.48,144.83,148.50,128.63,134.17,145.16,142.32,155.77,158.08,134.19
8/1/2022,148.67,133.67,127.28,127.47,144.76,148.90,128.53,134.11,145.11,142.45,156.48,158.40,134.51
9/1/2022,149.35,133.54,127.47,127.68,145.22,149.32,128.57,134.18,144.88,142.51,156.94,158.38,135.04
10/1/2022,149.41,133.24,127.45,127.62,145.37,149.56,128.69,134.30,144.90,142.74,157.53,158.53,135.39
11/1/2022,150.03,133.71,127.75,128.00,145.67,149.94,128.89,134.55,145.17,143.10,158.16,158.95,135.87
12/1/2022,150.43,133.97,128.17,128.20,146.12,150.35,129.11,134.76,145.64,143.40,158.57,159.32,136.23
1/1/2023,151.45,133.93,128.42,128.66,146.59,150.88,129.45,135.08,146.15,143.78,159.07,159.66,136.73
2/1/2023,151.26,134.09,128.44,129.02,147.07,151.31,129.76,135.43,146.32,144.11,159.32,159.77,136.96
3/1/2023,152.25,134.50,129.09,129.59,147.60,151.72,130.24,135.87,147.20,144.51,159.88,160.24,137.35
4/1/2023,153.96,134.88,129.54,130.09,148.23,152.19,130.98,136.31,147.58,144.86,160.49,160.69,137.71
5/1/2023,155.32,135.35,129.95,130.55,148.78,152.53,131.37,136.58,147.63,145.26,160.87,161.19,137.88
6/1/2023,156.38,135.55,130.44,131.22,149.58,152.89,131.70,136.83,147.89,145.70,161.23,161.49,138.24
7/1/2023,157.14,135.72,131.24,131.83,150.24,153.23,131.84,136.93,147.79,145.92,161.69,161.93,138.66
8/1/2023,157.16,135.83,131.39,131.87,150.78,153.56,131.65,136.90,147.78,145.94,162.00,162.26,138.76
